Date,USD,EUR,USD,JPY,BGN,CZK,DKK,GBP,HUF,PLN,RON,SEK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
2021-01-01,1,0.8149295085975062,1,103.08043354249857,1.5938391329150028,21.38538016461576,6.063808980523184,0.732646076114416,296.5446988835465,3.7158340803520495,3.9673213267052394,8.177247168119957,0.8802868551870263,127.21049629207073,8.53255643386847,6.154266155977507,74.53923885583896,7.426534104799933,1.2954119468665959,5.193953223046206,1.2739793007904814,6.537771982723495,7.753402330698394,14050.00407464754,3.214652432564583,73.06698720560671,1088.7458234862684,19.897318881916714,4.020862195420096,1.3840762774020046,48.18270719582756,1.3216526770434356,29.92991606226061,14.686578110993397
2021-01-02,1,0.8149295085975062,1,103.08043354249857,1.5938391329150028,21.38538016461576,6.063808980523184,0.732646076114416,296.5446988835465,3.7158340803520495,3.9673213267052394,8.177247168119957,0.8802868551870263,127.21049629207073,8.53255643386847,6.154266155977507,74.53923885583896,7.426534104799933,1.2954119468665959,5.193953223046206,1.2739793007904814,6.537771982723495,7.753402330698394,14050.00407464754,3.214652432564583,73.06698720560671,1088.7458234862684,19.897318881916714,4.020862195420096,1.3840762774020046,48.18270719582756,1.3216526770434356,29.92991606226061,14.686578110993397
2021-01-03,1,0.8149295085975062,1,103.08043354249857,1.5938391329150028,21.38538016461576,6.063808980523184,0.732646076114416,296.5446988835465,3.7158340803520495,3.9673213267052394,8.177247168119957,0.8802868551870263,127.21049629207073,8.53255643386847,6.154266155977507,74.53923885583896,7.426534104799933,1.2954119468665959,5.193953223046206,1.2739793007904814,6.537771982723495,7.753402330698394,14050.00407464754,3.214652432564583,73.06698720560671,1088.7458234862684,19.897318881916714,4.020862195420096,1.3840762774020046,48.18270719582756,1.3216526770434356,29.92991606226061,14.686578110993397
2021-01-04,1,0.8132726089785296,1,102.97657774886142,1.5905985686402082,21.25975927130774,6.049040338321405,0.7332465842550422,293.8516590761223,3.6983571893298635,3.961694860117111,8.205513988288873,0.8792290175666883,126.95185426154846,8.493819128171763,6.145494469746259,73.47267404033832,7.366541964866623,1.2953806115810018,5.143217306441119,1.270413142485361,6.464216005204944,7.752927781392322,13876.602147039686,3.206733897202342,73.0229342875732,1083.3035133376707,19.7650455432661,4.0065061808718285,1.3878497072218607,48.030253741054,1.317338972023422,29.869876382563437,14.57498373454782
2021-01-05,1,0.8149295085975062,1,102.88485046043516,1.5938391329150028,21.373156221986797,6.06201613560427,0.7361502730013854,293.59465406242356,3.70572895444544,3.97041805883791,8.195746067965121,0.880368348137886,127.21049629207073,8.533371363377066,6.1598891695868305,74.70581044739629,7.390921685274224,1.2979382283432481,5.339173661478282,1.275446173905957,6.4636133974411205,7.752913372993236,13915.002852253278,3.2007986309184253,73.2352701491321,1088.6235840599786,20.035856898378288,4.017032026729687,1.3883139108467117,48.09713959742482,1.318555944910765,29.969847608181894,15.010512590660907
2021-01-06,1,0.8105041335710812,1,102.95834008753445,1.5851839844383206,21.190630572215916,6.029583400875345,0.7346004214621494,290.0470092397471,3.660236667207003,3.9487761387583076,8.157967255633004,0.877046522937267,126.68179607716,8.413843410601395,6.127005997730588,73.60795915059167,7.339439131139569,1.282541740962879,5.277921867401523,1.267628464905171,6.4559085751337335,7.753201491327605,13914.897065975038,3.184389690387421,73.1107148646458,1085.508186091749,19.739260820230182,4.010536553736424,1.371048792348841,48.05965310423083,1.3167450153995786,29.924623115577887,15.004295671907926
2021-01-07,1,0.8145975887911372,1,103.55979146301726,1.593189964157706,21.299283154121863,6.059954382535027,0.7346855653307266,291.454871293581,3.665526230042359,3.9680677745193873,8.192815249266861,0.8824535679374388,126.50700553926362,8.425790159661128,6.163245356793744,74.29130009775172,7.330319322254805,1.2899967416096447,5.308895405669599,1.2708536982730532,6.467253176930596,7.753014011078527,14059.94623655914,3.1791300097751707,73.35084718149234,1093.4261974584554,19.758227435646788,4.037960247637667,1.3772401433691757,48.09628543499511,1.3239654610622351,30.025252525252526,15.307836428804169
2021-01-08,1,0.8163265306122448,1,103.88571428571429,1.5965714285714285,21.357551020408163,6.0709387755102036,0.7357387755102041,293.5673469387755,3.6826938775510203,3.976163265306122,8.204897959183674,0.8838367346938775,126.93877551020407,8.396979591836734,6.1787755102040816,74.12244897959182,7.3588571428571425,1.2863673469387755,5.367183673469387,1.2688163265306123,6.4639999999999995,7.753632653061224,14079.45306122449,3.1821224489795914,73.30408163265305,1092.1632653061224,19.976979591836734,4.029306122448979,1.3782040816326528,48.12,1.324734693877551,30.08,15.282612244897958
2021-01-09,1,0.8163265306122448,1,103.88571428571429,1.5965714285714285,21.357551020408163,6.0709387755102036,0.7357387755102041,293.5673469387755,3.6826938775510203,3.976163265306122,8.204897959183674,0.8838367346938775,126.93877551020407,8.396979591836734,6.1787755102040816,74.12244897959182,7.3588571428571425,1.2863673469387755,5.367183673469387,1.2688163265306123,6.4639999999999995,7.753632653061224,14079.45306122449,3.1821224489795914,73.30408163265305,1092.1632653061224,19.976979591836734,4.029306122448979,1.3782040816326528,48.12,1.324734693877551,30.08,15.282612244897958
2021-01-10,1,0.8163265306122448,1,103.88571428571429,1.5965714285714285,21.357551020408163,6.0709387755102036,0.7357387755102041,293.5673469387755,3.6826938775510203,3.976163265306122,8.204897959183674,0.8838367346938775,126.93877551020407,8.396979591836734,6.1787755102040816,74.12244897959182,7.3588571428571425,1.2863673469387755,5.367183673469387,1.2688163265306123,6.4639999999999995,7.753632653061224,14079.45306122449,3.1821224489795914,73.30408163265305,1092.1632653061224,19.976979591836734,4.029306122448979,1.3782040816326528,48.12,1.324734693877551,30.08,15.282612244897958
